name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Giyani,2025-01-01,96.4,74.4,84.8,101.3,74.4,88.4,70.3,63.9,0.008,100,4.17,rain,0,0,17.2,7.1,88.6,1009.7,11,12.4,317.3,27.3,9,,2025-01-01T05:14:44,2025-01-01T18:46:55,0.05,Rain,Clear conditions throughout the day with early morning rain.,rain,"68196099999,68182099999,SFU485-A0-1,68192099999,SFM00068196,SFM00068192,68183099999"
Giyani,2025-01-02,89.2,69.3,78.9,97.7,69.3,81.7,71.6,79.5,0.182,100,33.33,rain,0,0,15,5.1,107.6,1012.4,7.6,12.4,193.3,16.6,8,,2025-01-02T05:15:23,2025-01-02T18:47:11,0.09,Rain,Clear conditions throughout the day with rain.,rain,"68196099999,68182099999,SFU485-A0-1,SFM00068196,68192099999,SFM00068192,68183099999"
Giyani,2025-01-03,88.9,72,79.9,95.8,72,82.5,71.9,78.3,0.138,100,37.5,rain,0,0,13.9,6.9,116.9,1013.6,11.6,12.4,215.5,18.4,8,,2025-01-03T05:16:03,2025-01-03T18:47:27,0.12,Rain,Clear conditions throughout the day with rain.,rain,"68196099999,68182099999,SFU485-A0-1,SFM00068196,68192099999,SFM00068192,68183099999"
Giyani,2025-01-04,90.9,74.7,82.4,95.6,74.7,85.3,71.5,71.4,0.068,100,16.67,rain,0,0,12.9,6.5,82.7,1011.3,8.5,12.4,299,25.8,10,,2025-01-04T05:16:43,2025-01-04T18:47:40,0.16,Rain,Clear conditions throughout the day with rain clearing later.,rain,"68196099999,68182099999,SFU485-A0-1,SFM00068196,68192099999,SFM00068192,68183099999"
Giyani,2025-01-05,93.4,72.5,84.9,100,72.5,89.6,71.7,66.3,0.007,100,4.17,rain,0,0,19.8,7.2,12,1006.8,6.1,12.4,319.2,27.6,10,,2025-01-05T05:17:23,2025-01-05T18:47:53,0.2,Rain,Clear conditions throughout the day with afternoon rain.,rain,"68196099999,68182099999,SFU485-A0-1,SFM00068196,68192099999,SFM00068192,68183099999"
Giyani,2025-01-06,92.3,73.9,82.4,100,73.9,86.3,72.5,73.6,0.087,100,16.67,rain,0,0,15.2,6.9,323.5,1007,10.2,12.4,281.9,24.2,9,,2025-01-06T05:18:04,2025-01-06T18:48:04,0.23,Rain,Clear conditions throughout the day with rain.,rain,"68196099999,68182099999,SFU485-A0-1,SFM00068196,68192099999,SFM00068192,68183099999"
Giyani,2025-01-07,92.3,75.3,83.9,98.5,75.3,88.2,72.3,69.6,0.064,100,29.17,rain,0,0,12.3,3.8,193.9,1007.4,10.6,12.4,271.4,23.4,9,,2025-01-07T05:18:46,2025-01-07T18:48:14,0.25,Rain,Clear conditions throughout the day with rain.,rain,"68196099999,68182099999,SFU485-A0-1,SFM00068196,68192099999,SFM00068192,68183099999"
Giyani,2025-01-08,94,72.1,83.6,102.5,72.1,87.6,71.6,69.2,0.358,100,12.5,rain,0,0,29.1,9.1,167,1006.8,9.7,12.4,308.7,26.9,9,,2025-01-08T05:19:28,2025-01-08T18:48:22,0.3,Rain,Clear conditions throughout the day with rain.,rain,"68196099999,68182099999,SFU485-A0-1,SFM00068196,68192099999,remote,SFM00068192,68183099999"
Giyani,2025-01-09,79.8,69.9,74.4,79.8,69.9,74.4,71.2,90,1.11,100,8.33,rain,0,0,23,7.2,129.1,1010.4,15.9,9.1,67.2,5.8,2,,2025-01-09T05:20:10,2025-01-09T18:48:29,0.34,Rain,Clear conditions throughout the day with rain.,rain,"68196099999,68182099999,SFU485-A0-1,SFM00068196,68192099999,SFM00068192,68183099999"
Giyani,2025-01-10,86.8,70.7,75.9,95.4,70.7,77.3,72,88.4,0.551,100,4.17,rain,0,0,19.6,6.5,115.7,1010.8,10.8,12.4,160.5,13.8,6,,2025-01-10T05:20:53,2025-01-10T18:48:35,0.37,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"68196099999,68182099999,SFU485-A0-1,SFM00068196,68192099999,SFM00068192,68183099999"
Giyani,2025-01-11,85.6,71.8,76.1,93.9,71.8,77.6,72.5,89.2,0.017,100,4.17,rain,0,0,23,5.1,159.9,1012.6,14.3,9.9,191.7,16.6,7,,2025-01-11T05:21:36,2025-01-11T18:48:39,0.41,Rain,Clear conditions throughout the day with afternoon rain.,rain,"68196099999,68182099999,SFU485-A0-1,SFM00068196,68192099999,SFM00068192,68183099999"
Giyani,2025-01-12,91.5,71.7,80.2,102.5,71.7,84.7,72.9,79.9,0.003,100,4.17,rain,0,0,10.7,5,91.5,1010.5,13.5,12.4,278.8,24.1,9,,2025-01-12T05:22:19,2025-01-12T18:48:42,0.45,Rain,Clear conditions throughout the day with afternoon rain.,rain,"68196099999,68182099999,SFU485-A0-1,SFM00068196,68192099999,SFM00068192,68183099999"
Giyani,2025-01-13,77.6,68.4,71,77.6,68.4,71,69.3,94.5,0.708,100,58.33,rain,0,0,25.3,7.4,147.9,1012.7,21.9,5.5,38.6,3.3,2,,2025-01-13T05:23:02,2025-01-13T18:48:43,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"68196099999,68182099999,SFU485-A0-1,SFM00068196,68192099999,remote,SFM00068192,68183099999"
Giyani,2025-01-14,84.9,68.6,75.7,90.5,68.6,76.9,70.6,85.1,0.008,100,4.17,rain,0,0,9.2,3.8,106.4,1007.8,13.4,11.2,131.5,11.3,4,,2025-01-14T05:23:46,2025-01-14T18:48:43,0.5,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"68196099999,68182099999,SFU485-A0-1,SFM00068196,68192099999,SFM00068192,68183099999"
Giyani,2025-01-15,92.3,75.8,83.1,100.8,75.8,86.8,71.7,69.5,0,0,0,,0,0,22.6,9.4,265.9,1002.8,12.5,12.4,329.3,28.7,10,,2025-01-15T05:24:29,2025-01-15T18:48:42,0.55,Clear,Clear conditions throughout the day.,clear-day,"68196099999,68182099999,SFU485-A0-1,SFM00068196,68192099999,SFM00068192,68183099999"
Giyani,2025-01-16,75.8,66.1,70.6,75.8,66.1,70.6,67.1,88.9,0.821,100,83.33,rain,0,0,19.6,5.8,148,1013,20.7,5.9,52.4,4.5,2,,2025-01-16T05:25:13,2025-01-16T18:48:39,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"68196099999,68182099999,SFU485-A0-1,SFM00068196,68192099999,SFM00068192"
Giyani,2025-01-17,71,65.3,68.4,71,65.3,68.4,66.3,93.1,0.818,100,91.67,rain,0,0,15,4.7,170,1017.3,20.3,6.6,45.6,3.9,2,,2025-01-17T05:25:57,2025-01-17T18:48:35,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"68196099999,SFM00068196,68192099999,SFM00068192"
