blower_id,oem_maintenance_events,predictive_maintenance_events,oem_max_degradation,predictive_max_degradation,oem_high_risk_days,predictive_high_risk_days
ZG150_B001,1,5,1.6455446690347635,0.5973235963003446,269,0
ZG150_B002,1,5,1.5518484358013946,0.6449167327444786,262,30
ZG150_B003,1,5,2.3512222274216246,0.7010968364258316,270,64
ZG150_B004,1,4,1.9159267491816865,0.6232154458390158,254,15
ZG200_B011,1,4,1.381449347697339,0.5989965032389665,251,0
ZG200_B012,1,4,1.8838290359079264,0.6705745774510066,249,47
ZG200_B013,1,4,1.8480782401020588,0.5999474560368282,252,0
ZG200_B014,1,4,1.8191239843794,0.6690482544052359,244,45
ZG250_B021,1,4,1.437917947256763,0.6199329806986807,256,13
ZG250_B022,1,4,1.778609883278589,0.6598652612803461,241,41
ZG250_B023,1,4,1.8638168878020236,0.5984367553806922,251,0
ZG250_B024,1,4,1.7259496657131603,0.61795175917927,241,13
